ZIP,s01_bus,s16_bus,s24_bus,s26_bus,n01_bus,n13_bus,n15_bus,n16_bus,n34_bus,n35_bus,n36_bus,n37_bus,emp_cy,indarts_cy,indfood_cy,crmcytotc,hwfu18_o10,hwfu6_o10,medval_cy,avgval_cy,medval_fy,avgval_fy,acsmedval,medhinc_cy,avghinc_cy,pci_cy,mhigrwcyfy,acsavghinc,meddi_cy,avgdi_cy,acstotpop,medvalgrfy,medvalgrcy,havgmeddis,davgmeddis
92104,2189.0,212.0,9.0,76.0,2189.0,46.0,9.0,35.0,58.0,231.0,9.0,222.0,32241.0,673.0,3755.0,95.0,2374.0,943.0,677132.0,744838.0,750800.0,851217.0,565633.0,73464.0,96805.0,49907.0,3.44,92570.0,58403.0,73392.0,52199.0,0.10879398877325429,0.19712216733788987,1.3177023072211258,1.2566262584754468
91941,1166.0,66.0,4.0,23.0,1166.0,27.0,1.0,13.0,22.0,71.0,4.0,67.0,9208.0,222.0,556.0,81.0,1303.0,486.0,651078.0,705751.0,694437.0,765902.0,629133.0,79587.0,106878.0,42677.0,2.83,93948.0,63148.0,79732.0,19702.0,0.06659560514161876,0.034881281253278315,1.342890888073579,1.2626011496619107
91942,1726.0,92.0,11.0,43.0,1726.0,26.0,1.0,18.0,40.0,104.0,11.0,93.0,13662.0,472.0,995.0,105.0,1471.0,526.0,613153.0,634949.0,654309.0,702800.0,572688.0,73556.0,94257.0,39865.0,2.91,84337.0,58381.0,72393.0,24830.0,0.06712179974362069,0.07065789634513671,1.2814144133121252,1.2399883525744235
92182,557.0,64.0,11.0,27.0,557.0,5.0,1.0,5.0,26.0,76.0,11.0,65.0,10932.0,543.0,1591.0,90.0,768.0,256.0,684126.0,788565.0,733817.0,862951.0,663811.0,70536.0,113621.0,34163.0,7.0,98465.0,58502.0,81619.0,22617.0,0.07263417464885906,0.03060354437702241,1.6108000056707827,1.3951250363229235
92108,1854.0,64.0,5.0,27.0,1854.0,6.0,2.0,25.0,23.0,70.0,5.0,65.0,7416.0,115.0,617.0,137.0,560.0,308.0,647172.0,744268.0,684855.0,835595.0,599766.0,103394.0,127893.0,62051.0,2.26,123488.0,82331.0,92992.0,12785.0,0.05822708920180539,0.0790406941362229,1.2369360220513566,1.1294757809843075
92106,1284.0,100.0,21.0,54.0,1284.0,18.0,5.0,9.0,65.0,123.0,21.0,102.0,6660.0,185.0,361.0,49.0,1291.0,466.0,1038570.0,1170586.0,1121773.0,1225813.0,1008819.0,124438.0,175824.0,70895.0,4.78,162171.0,102426.0,119281.0,14812.0,0.08011296290768759,0.02949089034713824,1.412933244400871,1.1645464574770323
92120,1195.0,66.0,2.0,46.0,1195.0,13.0,4.0,16.0,33.0,71.0,2.0,70.0,8976.0,307.0,535.0,84.0,624.0,243.0,585183.0,648762.0,646696.0,775593.0,577475.0,86884.0,115813.0,52131.0,3.65,102483.0,69770.0,85143.0,13706.0,0.10511736479466288,0.013347740858494552,1.332945847959947,1.2203207636410542
92103,2948.0,240.0,17.0,94.0,2948.0,36.0,6.0,30.0,95.0,260.0,17.0,243.0,17745.0,684.0,1202.0,114.0,803.0,384.0,901748.0,1031039.0,952765.0,1114814.0,780818.0,98780.0,134084.0,76096.0,2.93,127551.0,78801.0,95595.0,26698.0,0.05657561028623264,0.15487584190446185,1.3573865419463258,1.2131037283317683
92020,1777.0,72.0,10.0,27.0,1777.0,35.0,10.0,30.0,22.0,83.0,10.0,73.0,16925.0,484.0,1899.0,117.0,3101.0,888.0,431276.0,445869.0,497444.0,588664.0,420862.0,52082.0,69658.0,23235.0,3.73,63846.0,44099.0,55369.0,41074.0,0.15342343783693543,0.0247443942565633,1.3374421596298216,1.255532879818594
92021,1084.0,72.0,10.0,15.0,1084.0,33.0,15.0,15.0,9.0,85.0,10.0,75.0,12906.0,582.0,1416.0,96.0,2043.0,485.0,502987.0,530536.0,592079.0,642070.0,462715.0,58729.0,86245.0,28089.0,5.32,72579.0,50249.0,65419.0,31059.0,0.17712549802380972,0.08703394738889514,1.4684999148646347,1.3018706467661691
92119,378.0,23.0,1.0,12.0,378.0,9.0,3.0,4.0,8.0,25.0,1.0,24.0,7856.0,399.0,418.0,39.0,1103.0,299.0,610791.0,623118.0,630383.0,676523.0,627296.0,99981.0,124245.0,47421.0,2.6,116801.0,80122.0,92247.0,16035.0,0.0320763860692347,-0.026311300707639283,1.2426736812626273,1.1513173495750284
92123,2503.0,143.0,8.0,57.0,2503.0,18.0,6.0,13.0,35.0,154.0,8.0,145.0,2184.0,41.0,152.0,267.0,97.0,61.0,583971.0,583529.0,633717.0,659378.0,483468.0,96723.0,116958.0,57898.0,1.44,116949.0,78700.0,88581.0,4098.0,0.08518559108998376,0.20787889192481834,1.209193168189901,1.125538430261369
